[2026-03-11 02:01:31] ========== TRAINING START ==========
[2026-03-11 02:01:31] Duration: 10h 0m 0s
[2026-03-11 02:01:31] Dataset: climbmix
[2026-03-11 02:01:31] Shards: 10
[2026-03-11 02:01:31] Workers: 39
[2026-03-11 02:01:31] ====================================
[2026-03-11 02:01:36] Using 'uv' runner to start training (TIME_BUDGET=36000s)

🔍 Verifying required packages...
📦 [Fallback] Installing missing dependency: psutil...
✅ Successfully installed psutil
Vocab size: 8,192
🔨 Building model: depth=8, batch_size=96
Pre-build | VRAM - Allocated: 0.0GB | Reserved: 0.0GB | Available: 70.7GB | Total: 79.2GB
✅ Model built successfully with 8 layers
Post-build | VRAM - Allocated: 0.5GB | Reserved: 0.6GB | Available: 70.1GB | Total: 79.2GB
Parameter counts:
  wte                     : 8,388,608
  value_embeds            : 33,554,432
  lm_head                 : 8,388,608
  transformer_matrices    : 100,664,320
  scalars                 : 16
  total                   : 150,995,984
Estimated FLOPs per token: 7.801467e+08
Gradient accumulation steps: 5 (adjusted batch: 983,040 tokens)
Scaling AdamW LRs by 1/sqrt(1024/768) = 0.866025

🚀 Starting training with CURRENT_BATCH_SIZE=96, CURRENT_DEPTH=8
Time budget: 36000s
Gradient accumulation steps: 5

step 00000 (0.0%) | loss: 9.011393 | lrm: 1.00 | dt: 21953ms | tok/sec: 44,779 | mfu: 0.7% | epoch: 1 | remaining: 36000s    [2026-03-11 02:02:05] ✓ Training initialization complete, timer started

step 00001 (0.0%) | loss: 8.755714 | lrm: 1.00 | dt: 9960ms | tok/sec: 98,702 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00002 (0.0%) | loss: 8.226683 | lrm: 1.00 | dt: 10145ms | tok/sec: 96,896 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00003 (0.0%) | loss: 7.714963 | lrm: 1.00 | dt: 10243ms | tok/sec: 95,973 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00004 (0.0%) | loss: 7.295918 | lrm: 1.00 | dt: 10139ms | tok/sec: 96,960 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00005 (0.0%) | loss: 6.995204 | lrm: 1.00 | dt: 10230ms | tok/sec: 96,097 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00006 (0.0%) | loss: 6.758277 | lrm: 1.00 | dt: 10191ms | tok/sec: 96,465 | mfu: 1.5% | epoch: 1 | remaining: 36000s    
step 00007 (0.0%) | loss: 6.557023 | lrm: 1.00 | dt: 11789ms | tok/sec: 83,387 | mfu: 1.3% | epoch: 1 | remaining: 36000s    
step 00008 (0.0%) | loss: 6.396197 | lrm: 1.00 | dt: 11390ms | tok/sec: 86,305 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00009 (0.0%) | loss: 6.259630 | lrm: 1.00 | dt: 10697ms | tok/sec: 91,902 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00010 (0.0%) | loss: 6.143961 | lrm: 1.00 | dt: 10657ms | tok/sec: 92,246 | mfu: 1.4% | epoch: 1 | remaining: 36000s    
step 00011 (0.0%) | loss: 6.047817 | lrm: 1.00 | dt: 10457ms | tok/sec: 94,004 | mfu: 1.5% | epoch: 1 | remaining: 35990s    
step 00012 (0.0%) | loss: 5.961896 | lrm: 1.00 | dt: 10219ms | tok/sec: 96,199 | mfu: 1.5% | epoch: 1 | remaining: 35979s    
step 00013 (0.1%) | loss: 5.886978 | lrm: 1.00 | dt: 10233ms | tok/sec: 96,063 | mfu: 1.5% | epoch: 1 | remaining: 35969s    
step 00014 (0.1%) | loss: 5.821791 | lrm: 1.00 | dt: 10303ms | tok/sec: 95,412 | mfu: 1.5% | epoch: 1 | remaining: 35959s    
step 00015 (0.1%) | loss: 5.767121 | lrm: 1.00 | dt: 10897ms | tok/sec: 90,210 | mfu: 1.4% | epoch: 1 | remaining: 35948s    
step 00016 (0.1%) | loss: 5.713743 | lrm: 1.00 | dt: 10854ms | tok/sec: 90,572 | mfu: 1.4% | epoch: 1 | remaining: 35937s    
step 00017 (0.2%) | loss: 5.670591 | lrm: 1.00 | dt: 10839ms | tok/sec: 90,696 | mfu: 1.4% | epoch: 1 | remaining: 35926s    
step 00018 (0.2%) | loss: 5.625785 | lrm: 1.00 | dt: 10921ms | tok/sec: 90,015 | mfu: 1.4% | epoch: 1 | remaining: 35915s    
step 00019 (0.2%) | loss: 5.584209 | lrm: 1.00 | dt: 10799ms | tok/sec: 91,031 | mfu: 1.4% | epoch: 1 | remaining: 35904s    
step 00020 (0.3%) | loss: 5.546546 | lrm: 1.00 | dt: 10924ms | tok/sec: 89,990 | mfu: 1.4% | epoch: 1 | remaining: 35894s    
step 00021 (0.3%) | loss: 5.510128 | lrm: 1.00 | dt: 10944ms | tok/sec: 89,827 | mfu: 1.4% | epoch: 1 | remaining: 35883s    
step 00022 (0.3%) | loss: 5.474423 | lrm: 1.00 | dt: 10927ms | tok/sec: 89,960 | mfu: 1.4% | epoch: 1 | remaining: 35872s    
step 00023 (0.4%) | loss: 5.438853 | lrm: 1.00 | dt: 10855ms | tok/sec: 90,564 | mfu: 1.4% | epoch: 1 | remaining: 35861s    
step 00024 (0.4%) | loss: 5.404369 | lrm: 1.00 | dt: 10742ms | tok/sec: 91,512 | mfu: 1.4% | epoch: 1 | remaining: 35850s    
step 00025 (0.4%) | loss: 5.373052 | lrm: 1.00 | dt: 10816ms | tok/sec: 90,887 | mfu: 1.4% | epoch: 1 | remaining: 35839s    
step 00026 (0.4%) | loss: 5.341035 | lrm: 1.00 | dt: 10848ms | tok/sec: 90,621 | mfu: 1.4% | epoch: 1 | remaining: 35828s    
step 00027 (0.5%) | loss: 5.310457 | lrm: 1.00 | dt: 10350ms | tok/sec: 94,975 | mfu: 1.5% | epoch: 1 | remaining: 35818s    
step 00028 (0.5%) | loss: 5.277594 | lrm: 1.00 | dt: 10321ms | tok/sec: 95,246 | mfu: 1.5% | epoch: 1 | remaining: 35808s    
step 00029 (0.5%) | loss: 5.246420 | lrm: 1.00 | dt: 10342ms | tok/sec: 95,053 | mfu: 1.5% | epoch: 1 | remaining: 35797s    
step 00030 (0.6%) | loss: 5.217341 | lrm: 1.00 | dt: 11086ms | tok/sec: 88,674 | mfu: 1.4% | epoch: 1 | remaining: 35786s    
step 00070 (1.8%) | loss: 4.034702 | lrm: 1.00 | dt: 10682ms | tok/sec: 92,027 | mfu: 1.4% | epoch: 1 | remaining: 35358s    
step 00071 (1.8%) | loss: 4.009040 | lrm: 1.00 | dt: 10772ms | tok/sec: 91,258 | mfu: 1.4% | epoch: 1 | remaining: 35347s    
step 00072 (1.8%) | loss: 3.986578 | lrm: 1.00 | dt: 10730ms | tok/sec: 91,614 | mfu: 1.4% | epoch: 1 | remaining: 35336s    
step 00073 (1.8%) | loss: 3.957043 | lrm: 1.00 | dt: 10658ms | tok/sec: 92,232 | mfu: 1.4% | epoch: 1 | remaining: 35326s    
step 00074 (1.9%) | loss: 3.937033 | lrm: 1.00 | dt: 10727ms | tok/sec: 91,639 | mfu: 1.4% | epoch: 1 | remaining: 35315s    
step 00075 (1.9%) | loss: 3.918028 | lrm: 1.00 | dt: 10765ms | tok/sec: 91,314 | mfu: 1.4% | epoch: 1 | remaining: 35304s    
step 00076 (1.9%) | loss: 3.897880 | lrm: 1.00 | dt: 10629ms | tok/sec: 92,486 | mfu: 1.5% | epoch: 1 | remaining: 35294s    
step 00077 (2.0%) | loss: 3.878347 | lrm: 1.00 | dt: 10599ms | tok/sec: 92,750 | mfu: 1.5% | epoch: 1 | remaining: 35283s    
step 00078 (2.0%) | loss: 3.861924 | lrm: 1.00 | dt: 10731ms | tok/sec: 91,608 | mfu: 1.4% | epoch: 1 | remaining: 35272s    
step 00079 (2.0%) | loss: 3.844639 | lrm: 1.00 | dt: 10670ms | tok/sec: 92,134 | mfu: 1.4% | epoch: 1 | remaining: 35262s    
step 00080 (2.1%) | loss: 3.824107 | lrm: 1.00 | dt: 10677ms | tok/sec: 92,069 | mfu: 1.4% | epoch: 1 | remaining: 35251s    
step 00081 (2.1%) | loss: 3.804986 | lrm: 1.00 | dt: 10676ms | tok/sec: 92,080 | mfu: 1.4% | epoch: 1 | remaining: 35240s    
step 00082 (2.1%) | loss: 3.790105 | lrm: 1.00 | dt: 10151ms | tok/sec: 96,842 | mfu: 1.5% | epoch: 1 | remaining: 35230s    
step 00083 (2.1%) | loss: 3.765516 | lrm: 1.00 | dt: 10240ms | tok/sec: 95,999 | mfu: 1.5% | epoch: 1 | remaining: 35220s    
step 00084 (2.2%) | loss: 3.747925 | lrm: 1.00 | dt: 10172ms | tok/sec: 96,641 | mfu: 1.5% | epoch: 1 | remaining: 35210s    
step 00085 (2.2%) | loss: 3.726858 | lrm: 1.00 | dt: 10228ms | tok/sec: 96,110 | mfu: 1.5% | epoch: 1 | remaining: 35199s    
step 00086 (2.2%) | loss: 3.713509 | lrm: 1.00 | dt: 11651ms | tok/sec: 84,375 | mfu: 1.3% | epoch: 1 | remaining: 35188s    
step 00087 (2.3%) | loss: 3.706275 | lrm: 1.00 | dt: 11501ms | tok/sec: 85,472 | mfu: 1.3% | epoch: 1 | remaining: 35176s    
step 00088 (2.3%) | loss: 3.696388 | lrm: 1.00 | dt: 10793ms | tok/sec: 91,082 | mfu: 1.4% | epoch: 1 | remaining: 35166s    
step 00089 (2.3%) | loss: 3.683152 | lrm: 1.00 | dt: 10396ms | tok/sec: 94,555 | mfu: 1.5% | epoch: 1 | remaining: 35155s    
step 00090 (2.3%) | loss: 3.671469 | lrm: 1.00 | dt: 10192ms | tok/sec: 96,452 | mfu: 1.5% | epoch: 1 | remaining: 35145s    
step 00091 (2.4%) | loss: 3.658075 | lrm: 1.00 | dt: 10282ms | tok/sec: 95,604 | mfu: 1.5% | epoch: 1 | remaining: 35135s    
step 00092 (2.4%) | loss: 3.649013 | lrm: 1.00 | dt: 10317ms | tok/sec: 95,282 | mfu: 1.5% | epoch: 1 | remaining: 35124s    
step 00093 (2.4%) | loss: 3.634464 | lrm: 1.00 | dt: 10294ms | tok/sec: 95,494 | mfu: 1.5% | epoch: 1 | remaining: 35114s    
step 00094 (2.5%) | loss: 3.621665 | lrm: 1.00 | dt: 10378ms | tok/sec: 94,724 | mfu: 1.5% | epoch: 1 | remaining: 35104s    
step 00095 (2.5%) | loss: 3.610376 | lrm: 1.00 | dt: 10549ms | tok/sec: 93,189 | mfu: 1.5% | epoch: 1 | remaining: 35093s    
step 00096 (2.5%) | loss: 3.598306 | lrm: 1.00 | dt: 10814ms | tok/sec: 90,902 | mfu: 1.4% | epoch: 1 | remaining: 35082s    
step 00097 (2.5%) | loss: 3.584704 | lrm: 1.00 | dt: 10762ms | tok/sec: 91,339 | mfu: 1.4% | epoch: 1 | remaining: 35072s    
step 00098 (2.6%) | loss: 3.575525 | lrm: 1.00 | dt: 10810ms | tok/sec: 90,937 | mfu: 1.4% | epoch: 1 | remaining: 35061s    
step 00099 (2.6%) | loss: 3.571220 | lrm: 1.00 | dt: 10637ms | tok/sec: 92,418 | mfu: 1.4% | epoch: 1 | remaining: 35050s    
step 00100 (2.6%) | loss: 3.557745 | lrm: 1.00 | dt: 10677ms | tok/sec: 92,074 | mfu: 1.4% | epoch: 1 | remaining: 35039s    
step 00101 (2.7%) | loss: 3.551744 | lrm: 1.00 | dt: 10788ms | tok/sec: 91,124 | mfu: 1.4% | epoch: 1 | remaining: 35029s    
step 00102 (2.7%) | loss: 3.539850 | lrm: 1.00 | dt: 10661ms | tok/sec: 92,209 | mfu: 1.4% | epoch: 1 | remaining: 35018s    
step 00103 (2.7%) | loss: 3.523567 | lrm: 1.00 | dt: 10707ms | tok/sec: 91,812 | mfu: 1.4% | epoch: 1 | remaining: 35007s    
step 00104 (2.8%) | loss: 3.516971 | lrm: 1.00 | dt: 10779ms | tok/sec: 91,200 | mfu: 1.4% | epoch: 1 | remaining: 34996s    
step 00105 (2.8%) | loss: 3.514444 | lrm: 1.00 | dt: 10731ms | tok/sec: 91,608 | mfu: 1.4% | epoch: 1 | remaining: 34986s    
step 00106 (2.8%) | loss: 3.495698 | lrm: 1.00 | dt: 10662ms | tok/sec: 92,197 | mfu: 1.4% | epoch: 1 | remaining: 34975s    
step 00107 (2.8%) | loss: 3.485646 | lrm: 1.00 | dt: 10813ms | tok/sec: 90,909 | mfu: 1.4% | epoch: 1 | remaining: 34964s    
step 00108 (2.9%) | loss: 3.475316 | lrm: 1.00 | dt: 10724ms | tok/sec: 91,667 | mfu: 1.4% | epoch: 1 | remaining: 34954s    
step 00109 (2.9%) | loss: 3.469237 | lrm: 1.00 | dt: 10654ms | tok/sec: 92,269 | mfu: 1.4% | epoch: 1 | remaining: 34943s    
step 00110 (2.9%) | loss: 3.454463 | lrm: 1.00 | dt: 10168ms | tok/sec: 96,684 | mfu: 1.5% | epoch: 1 | remaining: 34933s    
step 00111 (3.0%) | loss: 3.441422 | lrm: 1.00 | dt: 10224ms | tok/sec: 96,145 | mfu: 1.5% | epoch: 1 | remaining: 34923s    
step 00112 (3.0%) | loss: 3.429820 | lrm: 1.00 | dt: 10140ms | tok/sec: 96,948 | mfu: 1.5% | epoch: 1 | remaining: 34912s    
step 00113 (3.0%) | loss: 3.428066 | lrm: 1.00 | dt: 10206ms | tok/sec: 96,322 | mfu: 1.5% | epoch: 1 | remaining: 34902s    
step 00114 (3.0%) | loss: 3.423970 | lrm: 1.00 | dt: 10110ms | tok/sec: 97,231 | mfu: 1.5% | epoch: 1 | remaining: 34892s    
step 00115 (3.1%) | loss: 3.422363 | lrm: 1.00 | dt: 11060ms | tok/sec: 88,886 | mfu: 1.4% | epoch: 1 | remaining: 34881s    
step 00116 (3.1%) | loss: 3.418219 | lrm: 1.00 | dt: 12130ms | tok/sec: 81,041 | mfu: 1.3% | epoch: 1 | remaining: 34869s    
step 00117 (3.1%) | loss: 3.410660 | lrm: 1.00 | dt: 10654ms | tok/sec: 92,270 | mfu: 1.4% | epoch: 1 | remaining: 34858s    
step 00118 (3.2%) | loss: 3.408096 | lrm: 1.00 | dt: 10502ms | tok/sec: 93,607 | mfu: 1.5% | epoch: 1 | remaining: 34848s    
step 00119 (3.2%) | loss: 3.396629 | lrm: 1.00 | dt: 10528ms | tok/sec: 93,378 | mfu: 1.5% | epoch: 1 | remaining: 34837s    
step 00120 (3.2%) | loss: 3.394920 | lrm: 1.00 | dt: 10469ms | tok/sec: 93,899 | mfu: 1.5% | epoch: 1 | remaining: 34827s    
step 00121 (3.3%) | loss: 3.393417 | lrm: 1.00 | dt: 10431ms | tok/sec: 94,241 | mfu: 1.5% | epoch: 1 | remaining: 34816s    
step 00122 (3.3%) | loss: 3.389786 | lrm: 1.00 | dt: 10434ms | tok/sec: 94,213 | mfu: 1.5% | epoch: 1 | remaining: 34806s    
step 00123 (3.3%) | loss: 3.386699 | lrm: 1.00 | dt: 10544ms | tok/sec: 93,235 | mfu: 1.5% | epoch: 1 | remaining: 34795s    
step 00124 (3.3%) | loss: 3.378992 | lrm: 1.00 | dt: 10523ms | tok/sec: 93,418 | mfu: 1.5% | epoch: 1 | remaining: 34785s    
step 00125 (3.4%) | loss: 3.372412 | lrm: 1.00 | dt: 10479ms | tok/sec: 93,808 | mfu: 1.5% | epoch: 1 | remaining: 34774s    
